Names,Twittername,Party,Region
Daniel Borup,DanielBorup,UNKNOWN,UNKNOWN
Githa Nelander,GithaNelander,Dansk Folkeparti,UNKNOWN
Thomas Andresen,tand22927504,UNKNOWN,UNKNOWN
Ole Vive,OleVive,UNKNOWN,UNKNOWN
Søren Hillers,hillers_s,UNKNOWN,UNKNOWN
søren brink,brinkjammerbugt,UNKNOWN,UNKNOWN
Ole Bondo Christense,olebondo,UNKNOWN,UNKNOWN
Bodil Sø,BodilSoe,Venstre,sjælland
line ervolder,lineervolder,UNKNOWN,UNKNOWN
Jan Wammen,janwammen,UNKNOWN,UNKNOWN
Tina French Nielsen,TinaFrench71,UNKNOWN,UNKNOWN
Benny Dall,BennyDall,UNKNOWN,UNKNOWN
Maja Torp,MajaTorpAalborg,UNKNOWN,UNKNOWN
Claus Kjeldsen,ClausKjeldsen,Socialdemokratiet,midtjylland
Tidligere konto MBLIS,M_BLIS,UNKNOWN,UNKNOWN
Torben Overgaard,OvergaardTorben,UNKNOWN,UNKNOWN
Steen Vindum,vindum,UNKNOWN,UNKNOWN
Mikael Smed,Mikaelsmed,UNKNOWN,UNKNOWN
Kasper Glyngø,KasGly,UNKNOWN,UNKNOWN
Maja Krog,KrogMaja,UNKNOWN,UNKNOWN
Søren Kusk,s_kusk,UNKNOWN,UNKNOWN
Tage Nielsen,8464tage,UNKNOWN,UNKNOWN
Gitte Simoni,Gittesimoni,Dansk Folkeparti,sjælland
Henrik Moeller,HenrikMoeller2,UNKNOWN,UNKNOWN
Kåre Harder Olesen,HarderOlesen,UNKNOWN,UNKNOWN
Claus Omann Jensen,CjOmann,UNKNOWN,UNKNOWN
H.C. Østerby,Oesterby,UNKNOWN,UNKNOWN
Morten Slotved,SlotvedMorten,UNKNOWN,UNKNOWN
Gorm Gunnarsen,GormGun,UNKNOWN,UNKNOWN
Rasmus Brask,rasmusbrask,UNKNOWN,UNKNOWN
Diana Mose Olsen,DianaMoseOlsen,UNKNOWN,UNKNOWN
Ida Damborg,DamborgIda,Socialistisk Folkeparti,UNKNOWN
Marianne Mathiesen,MarianneM_LA,UNKNOWN,UNKNOWN
Steffen Mølgaard,Steffen_Moel,UNKNOWN,UNKNOWN
Søren Schow,soerenschow,UNKNOWN,UNKNOWN
Kristian Dyhr,krdyhr,UNKNOWN,UNKNOWN
Peter Mikkelsen,PeterMikkelsen4,UNKNOWN,UNKNOWN
Robert Sørensen,RobertGlostrup,UNKNOWN,UNKNOWN
Morten Andersen,MortenA41863685,UNKNOWN,UNKNOWN
Hans Holmer,HolmerHans,UNKNOWN,UNKNOWN
William Sonne Kaalø,SonneKaaloe,UNKNOWN,UNKNOWN
Anna Hede,AnnaMHC,UNKNOWN,UNKNOWN
Preben Friis-Hauge,FriisHauge,Venstre,UNKNOWN
Anne-Mette Ebensgaard🌹ame@odense.dk Tel: 21327352,AnneEbensgaard,UNKNOWN,UNKNOWN
Lone Hindø,LoneHind,UNKNOWN,UNKNOWN
Tommy Hummelmose,TommyHummelmose,UNKNOWN,UNKNOWN
Lars Hoppe Søe,hoppesoe,Radikale Venstre,sjælland
Sascha Qvortrup,perleberger,UNKNOWN,UNKNOWN
Karen Sandrini,KarenSandrini,UNKNOWN,UNKNOWN
Otto Kjær Larsen,otklar,Venstre,nordjylland
Søren Greve,SGHobro,UNKNOWN,UNKNOWN
Thomas Palmskov,TPalmskov,UNKNOWN,UNKNOWN
Kirstine van Sabben,KirstinevanSabb,UNKNOWN,UNKNOWN
Eik Dahl Bidstrup,EikBidstrup,UNKNOWN,UNKNOWN
peter duetoft,peterduetoft,Socialdemokratiet,UNKNOWN
Dan Arnløv,DanArnloev,UNKNOWN,UNKNOWN
Rabih Azad-Ahmad,AzadRabih,UNKNOWN,UNKNOWN
Mads Panny,MadsPanny,UNKNOWN,UNKNOWN
Sune Raunkjær,SRaunkjr,UNKNOWN,UNKNOWN
Jakob Rixen,J_Rixen,Liberal Alliance,midtjylland
Arne Lægaard,ArneLaegaard,Venstre,midtjylland
Karsten Uno Petersen,KarstenUno,Socialdemokratiet,UNKNOWN
Flemming Rømer,flemse68,UNKNOWN,UNKNOWN
Mortensiig,mortensiig,UNKNOWN,UNKNOWN
Ole Revsgaard Andersen,OleRevsgaard,Dansk Folkeparti,midtjylland
PeterSkriverNielsen,Enthybo,UNKNOWN,UNKNOWN
Dan Skjerning,SkjerningDan,UNKNOWN,UNKNOWN
Kristian Skov-Andersen,KristianSkov21,UNKNOWN,UNKNOWN
Ursula Dieterich,UDieterich,UNKNOWN,UNKNOWN
Lars Mogensen,LarsMog,Enhedslisten,UNKNOWN
Jørgen Gaarde,JGaarde,UNKNOWN,UNKNOWN
Kirsten Devantier,KirstenDvantier,Venstre,sjælland
Knud Holt Nielsen,Knuden1969,UNKNOWN,UNKNOWN
Peder Udengaard,PederUdengaard,UNKNOWN,UNKNOWN
John Brædder,Jobr0390,UNKNOWN,UNKNOWN
Olav Rabølle Nielsen,orn48245399,UNKNOWN,UNKNOWN
Nils Borring,NilsBorring,UNKNOWN,UNKNOWN
Pia Tørving,ptoerving,UNKNOWN,UNKNOWN
Ulrich Fredberg,UlrichFredberg,Venstre,midtjylland
vibeke syppli enrum,Vse11Vse,UNKNOWN,UNKNOWN
Mathias Frosz,MathiasDFN,UNKNOWN,UNKNOWN
Claus Bakke,ClausBakke,Venstre,sjælland
Cecilie Roed Schultz,CroedS_EL,UNKNOWN,UNKNOWN
HolgerSchouRasmussen,HolgerSchouA,UNKNOWN,UNKNOWN
Søren Windell,sorenwindell,UNKNOWN,UNKNOWN
Aki Høegh-Dam,aki_hdam,UNKNOWN,UNKNOWN
Morten Skovlund,MortenSkovlund,UNKNOWN,UNKNOWN
Per Bødker Andersen,PerBoedker,UNKNOWN,UNKNOWN
Michele Fejø,FejoeMichele,UNKNOWN,UNKNOWN
Anette Mortensen,anetmort,UNKNOWN,UNKNOWN
Kenneth Bjerregaard,kbmusik88,UNKNOWN,UNKNOWN
Nicolaj Bang,NicolajBang,Det Konservative Folkeparti,midtjylland
H. Kristian Wollesen,Wollese,UNKNOWN,UNKNOWN
Lene Krabbe Dahl,LeneKrabbeDahl,UNKNOWN,UNKNOWN
Erik Swiatek,ErikSwiatek,UNKNOWN,UNKNOWN
Lis Mancini,lismancini,Socialdemokratiet,nordjylland
Mai-Britt Beith,BeithMai,UNKNOWN,UNKNOWN
Eva B. Mejnertz,eva_mejnertz,UNKNOWN,UNKNOWN
Flemming Erichsen,ErichsenFer,UNKNOWN,UNKNOWN
Gyda Heding,GydaHeding,UNKNOWN,UNKNOWN
Thomas.,hav_t,Venstre,UNKNOWN
Iben Sønderup,SonderupIben,UNKNOWN,UNKNOWN
Carsten Kristensen,CarstenKristen1,UNKNOWN,UNKNOWN
Charlotte Drue,DrueCharlotte,UNKNOWN,UNKNOWN
Ib Kristensen,BorgmesterIb,UNKNOWN,UNKNOWN
Liselotte Lynge Jensen,LiselotteLyngeJ,UNKNOWN,UNKNOWN
Randi Mondorf,RandiMondorf,Venstre,UNKNOWN
Dan Ingemann Jensen,IngemannDj,UNKNOWN,UNKNOWN
Jens Meilvang,JmMeilvang,UNKNOWN,UNKNOWN
Eea Vestergaard,Eeahaldan,UNKNOWN,UNKNOWN
Else Kayser,else_kayser,Enhedslisten,midtjylland
Andreas Keil,AlkeilAndreas,UNKNOWN,UNKNOWN
Lene Linnemann,L_Linnemann,SF - Socialistisk Folkeparti     ,nordjylland
NiclasTuran Kandemir,TuranKandemirDK,UNKNOWN,UNKNOWN
Ole Vind,OleVind,UNKNOWN,UNKNOWN
Lene Kjelgaard,lenekjelgaard,UNKNOWN,UNKNOWN
Claus Mørkbak Højrup,claushojrup,UNKNOWN,UNKNOWN
Mira Issa Bloch,BlochMira,UNKNOWN,UNKNOWN
Thies Mathiasen,MailThies,Dansk Folkeparti,UNKNOWN
Simon Højer,SimonOgPolitik,UNKNOWN,UNKNOWN
Steffen Jensen,Steffenhalsnaes,UNKNOWN,UNKNOWN
Mette Valbjørn,MetteVALG,Socialdemokratiet,midtjylland
Per Bisgaard,perbisgaard,Venstre,nordjylland
Marianne Frederik,mariannefrede20,Enhedslisten - De Rød-Grønne,UNKNOWN
Anders Buhl-Christen,AndersBuhl,UNKNOWN,UNKNOWN
Anny winther,AnnyWinther,UNKNOWN,UNKNOWN
Christel Gall,CgaChristel,UNKNOWN,UNKNOWN
Henning Ravn,henningravn,UNKNOWN,UNKNOWN
anja daugaard,AnjaDaugaard,UNKNOWN,UNKNOWN
Erik Nielsen,ErikNie68413878,UNKNOWN,UNKNOWN
Palle Lykke Ravn,PalleLykkeRavn,UNKNOWN,UNKNOWN
Dina Oxfeldt,OxfeldtDina,UNKNOWN,UNKNOWN
malene busk,malenebusks,UNKNOWN,UNKNOWN
Uwe Jessen,UweJessen,UNKNOWN,UNKNOWN
Sarah Nørris,sarah_noerris,Enhedslisten,UNKNOWN
Annie Hagel,AnnieHagel,Enhedslisten - De Rød-Grønne,UNKNOWN
Annemarie Knigge,AnnekAnnemarie,Socialdemokratiet,sjælland
Michael Eskamp Witek,eskampwitek,UNKNOWN,UNKNOWN
PGraversgaard,PGraversgaard,UNKNOWN,UNKNOWN
Charlotte Broman Møl,MlCharlotte,Socialistisk Folkeparti,UNKNOWN
Anne Møller Ronex,AnneMllerRonex,Radikale Venstre,sjælland
Lauge Larsen (A),laugelarsenS,UNKNOWN,UNKNOWN
Åse Kubel Høeg,aasekubelhoeeg,UNKNOWN,UNKNOWN
Hans Skou,HansSkou,UNKNOWN,UNKNOWN
John T. Olsen,JtoOlsen,UNKNOWN,UNKNOWN
Erik Nørreby,ErikNrreby,UNKNOWN,UNKNOWN
Azra Hasanbegovic,hasanbegovic_6,UNKNOWN,UNKNOWN
Jørgen Hein,aabcollege,UNKNOWN,UNKNOWN
Jørgen Rørbæk,Roerbak,UNKNOWN,UNKNOWN
Susanne Lundvald,LundvaldSusanne,Socialdemokratiet,sjælland
Erik Harbo Larsen,ErhlErik,Venstre,nordjylland
Susanne Dyreborg,SusDyreborg,UNKNOWN,UNKNOWN
Jan Hendeliowitz,JanHendeliowitz,Socialdemokratiet,sjælland
Tobias Bøgeskov,Tobiasboegeskov,UNKNOWN,UNKNOWN
Henrik Buchhave,BuchhaveHenrik,Venstre,nordjylland
Flemming Andersen,FlemmingVenstre,UNKNOWN,UNKNOWN
Pernille Høxbro,pernillehoxbro,UNKNOWN,UNKNOWN
Poul Fremmelev,PoufrP,Socialdemokratiet,UNKNOWN
Helle Sjelle,helle_sjelle,Det Konservative Folkeparti,UNKNOWN
Bente Gertz,bente_gertz,Socialdemokratiet,UNKNOWN
Erik R Gregersen,ErikRGregersen,UNKNOWN,UNKNOWN
Anders R. Laugesen,arlaugesen,UNKNOWN,UNKNOWN
Flemming Brank,BrankFlemming,UNKNOWN,UNKNOWN
Niels Lundshøj (S),Gorm_Lundshoej,UNKNOWN,UNKNOWN
karen lagoni,karenlagoni,UNKNOWN,UNKNOWN
Maria Brumvig,mariabrumvig,UNKNOWN,UNKNOWN
Bruno Jerup,BrunoJerup,Enhedslisten,sjælland
Steen Jakobsen,sja46297093,Venstre,midtjylland
Søren Elbæk,SorenElbaek,UNKNOWN,UNKNOWN
Annette Randløv,randlov62,Radikale Venstre,UNKNOWN
Linda Frederiksen,Lindaf_dk,UNKNOWN,UNKNOWN
claus leick,clausleick,UNKNOWN,UNKNOWN
Mogens Nørgård,MogensNorg,Socialdemokratiet,nordjylland
martin schepelern,mschepelern,UNKNOWN,UNKNOWN
Per Skovmose,PskPer,UNKNOWN,UNKNOWN
Anna Kirsten Olesen,OlesenAnna,UNKNOWN,UNKNOWN
Petter Astrup,PetterAstrup,UNKNOWN,UNKNOWN
Kim Drejer Nielsen,KimDrejer,UNKNOWN,UNKNOWN
Annie Hagel,hagel6,Enhedslisten - De Rød-Grønne,UNKNOWN
Søren H Lambertsen,shl1030,UNKNOWN,UNKNOWN
Jakob Ville,JakobVille,UNKNOWN,UNKNOWN
Maria Temponeras,MariaTemponeras,UNKNOWN,UNKNOWN
Susanne Buch Nielsen,susanne34684926,UNKNOWN,UNKNOWN
Nikolai Norup,NikoNorup,UNKNOWN,UNKNOWN
Lone Langballe,l_langballe,Dansk Folkeparti,midtjylland
Anja Lund,AnjaLund2,Venstre,UNKNOWN
David M. Zepernick,FondenSAA,UNKNOWN,UNKNOWN
Sanne Skougaard An..,SanneSkougaard,UNKNOWN,UNKNOWN
Evan Lynnerup,evan_lynnerup,Venstre,sjælland
Lene Madsen Milner,LeneMilner,Venstre,sjælland
Tage Petersen,TagePetersen,Venstre,UNKNOWN
Nini Oken,NiniOken,UNKNOWN,UNKNOWN
Ole Alsted,AlstedOle,UNKNOWN,UNKNOWN
Mette Bjerre,mette_bjerre1,UNKNOWN,UNKNOWN
melanie simick,SimickMorten,UNKNOWN,UNKNOWN
Poul-Erik Svendsen,svendsen_poul,Socialdemokratiet,UNKNOWN
Medzait Ljatifi,medzait1,Socialdemokratiet,nordjylland
Niels Hörup,Niels_Horup,UNKNOWN,UNKNOWN
Ulla Chambless,UllaGC,UNKNOWN,UNKNOWN
Poul Erik Jensen,PoulErikJensenA,UNKNOWN,UNKNOWN
Frands Fischer,FrandsFischer,UNKNOWN,UNKNOWN
Tage Leegaard,TageLeegaard,Det Konservative Folkeparti,nordjylland
Vicky Bender Lorenzen,VickyLorenzen,UNKNOWN,UNKNOWN
Peder Hummelmose,PederHummelmose,UNKNOWN,UNKNOWN
Susan Hedlund,hedlund_susan,UNKNOWN,UNKNOWN
Mustapha El-Ahmad,MustaphaElAhmad,UNKNOWN,UNKNOWN
Arne Kristiansen,ArneBoelt,UNKNOWN,UNKNOWN
Dorte West,DorteWest,Venstre,midtjylland
Finn Sander Jensen,Finnsanderjense,UNKNOWN,UNKNOWN
Mogens Nyholm,mogens_nyholm,UNKNOWN,UNKNOWN
Karsten Fogde,FogdeKarsten,Socialistisk Folkeparti,UNKNOWN
Hamlaoui Bahloul,hamlaouibahloul,UNKNOWN,UNKNOWN
Jørgen Ahlquist,QuistAhlquist,UNKNOWN,UNKNOWN
conny Jensen,connyJensen3,UNKNOWN,UNKNOWN
Dorthe Hecht,DortheHecht,UNKNOWN,UNKNOWN
Henrik Vallø,henrik_vall,UNKNOWN,UNKNOWN
Kim Hesel,KimHesel,UNKNOWN,UNKNOWN
Freja Södergran,Frejasodergran,UNKNOWN,UNKNOWN
Birthe Harritz,BirtheHarritz,UNKNOWN,UNKNOWN
Trine Frengler,TrineFrengler,UNKNOWN,UNKNOWN
Michael Harbøll,mharboll,UNKNOWN,UNKNOWN
ChristofferReinhardt,Reinhardt09,UNKNOWN,UNKNOWN
MortenWeiss-Pedersen,mwp14,UNKNOWN,UNKNOWN
Jørn Lehmann Peterse,rn_lehmann,UNKNOWN,UNKNOWN
Henning J. Nyhuus,henningnyhuus,UNKNOWN,UNKNOWN
Peter Therkildsen,TherkildsenP,Venstre,nordjylland
Kasper Ejlertsen,KasperEjlertsen,UNKNOWN,UNKNOWN
Jette Ramskov,jetramskov,Socialdemokratiet,nordjylland
Anne Heeager,AnneHeeager,UNKNOWN,UNKNOWN
Karsten SkawboJensen,skawbojensen,UNKNOWN,UNKNOWN
Jan Hemberg Herskov,HerskovJan,UNKNOWN,UNKNOWN
liv gro jensen,liv_gro,UNKNOWN,UNKNOWN
Anders Korsbæk,anderskorsbaek,UNKNOWN,UNKNOWN
Søren Erik  Pedersen,soerep,UNKNOWN,UNKNOWN
Leif Olsen,Leif_Olsen,UNKNOWN,UNKNOWN
Ellen Petersen,EllenPetersen18,UNKNOWN,UNKNOWN
Felex Pedersen,PedersenFelex,Socialdemokratiet,sjælland
AMPJ,PalmJohansen,UNKNOWN,UNKNOWN
Christina Kjærsgaard,ChristinaKjrsg2,UNKNOWN,UNKNOWN
Molle lykke nielsen,LykkeMolle,UNKNOWN,UNKNOWN
Vibeke Gamst,vibeke_gamst,Det Konservative Folkeparti,nordjylland
Pia Moldt,piamoldt,UNKNOWN,UNKNOWN
Lars Folmann,larsfolm,Dansk Folkeparti,sjælland
schlootie,schlootie,UNKNOWN,UNKNOWN
